feature,count,mean,std,min,1%,10%,25%,50%,75%,90%,99%,max
u-g,45946.0,2.217137552779355,0.8395587863410233,-4.236999999999998,-0.5040000000000013,1.1070000000000029,1.9490000000000016,2.3629999999999995,2.6239999999999988,2.9974999999999987,4.187999999999999,6.548000000000002
u-r,45946.0,3.6680916945980147,0.8144510521643082,-3.808,1.109800000000001,2.624500000000001,3.407,3.7659999999999982,4.041999999999998,4.475999999999999,5.704000000000001,7.852
u-i,45946.0,5.001420689505075,0.8056834133399593,0.014999999999997016,3.086450000000001,4.163,4.5219999999999985,4.894000000000002,5.388999999999999,6.073,7.306999999999999,9.202000000000002
u-z,45946.0,5.7307918425978,0.9838139469598568,-0.16000000000000014,3.7344500000000007,4.663,5.0859999999999985,5.579000000000001,6.270000000000003,7.109000000000002,8.375,10.400999999999998
u-J,45946.0,7.138002851173178,1.177374108983493,-0.8300000000000001,4.7099,5.844999999999999,6.357000000000001,6.964,7.83,8.780999999999999,10.182100000000004,13.303
u-H,45946.0,7.759223240325582,1.1661664022090403,-0.08399999999999963,5.346449999999999,6.495,6.986999999999998,7.576999999999999,8.443,9.392,10.802550000000002,13.968000000000002
u-K,45946.0,8.031172637444055,1.207534015422884,-0.009000000000000341,5.604449999999999,6.707000000000002,7.222999999999999,7.843,8.756000000000002,9.726,11.150550000000003,14.173000000000002
u-w1,45946.0,8.166405105994023,1.2385904756486967,0.06400000000000006,5.65645,6.7865,7.331999999999999,7.979999999999999,8.921000000000001,9.895,11.348550000000003,14.268
u-w2,45946.0,8.29319577329903,1.2978829200403799,-0.43299999999999983,5.610900000000001,6.8125,7.421000000000001,8.126,9.106,10.094,11.557100000000005,14.288000000000002
g-r,45946.0,1.4509541418186742,0.25924207897126783,-6.452999999999999,0.83145,1.2600000000000016,1.343,1.4200000000000017,1.5350000000000001,1.668999999999997,2.266550000000002,7.585000000000001
g-i,45946.0,2.7842831367257226,0.7435395238166642,-0.35799999999999876,1.4929999999999986,1.9280000000000008,2.256999999999998,2.6239999999999988,3.391000000000002,3.7734999999999985,4.698100000000005,8.948999999999998
g-z,45946.0,3.513654289818477,1.076790701662306,-0.8189999999999991,1.7350000000000003,2.2799999999999976,2.7379999999999995,3.2620000000000005,4.428000000000001,4.968999999999998,6.3089999999999975,9.922999999999998
g-J,45946.0,4.920865298393788,1.3269561507102465,-1.6129999999999995,2.67635,3.436000000000001,3.9780000000000015,4.602,6.0070000000000014,6.6930000000000005,8.407550000000002,13.170000000000002
g-H,45946.0,5.542085687546261,1.3204582940872973,-0.8669999999999991,3.341449999999999,4.088000000000001,4.605999999999998,5.207000000000001,6.605,7.315999999999999,9.093550000000002,13.819
g-K,45946.0,5.814035084664585,1.3779891967132591,-0.7919999999999998,3.4994500000000004,4.289000000000001,4.842999999999998,5.465999999999999,6.929,7.659999999999999,9.538,14.053
g-w1,45946.0,5.949267553214635,1.4118546838839368,-0.7189999999999994,3.6024499999999993,4.367000000000001,4.950000000000001,5.601000000000001,7.098000000000001,7.827999999999999,9.764200000000011,14.194
g-w2,45946.0,6.076058220519792,1.4770832971266634,-0.8659999999999997,3.5104499999999996,4.379000000000001,5.034999999999998,5.744999999999999,7.284750000000001,8.029499999999999,9.987100000000007,14.195000000000002
r-i,45946.0,1.3333289949070617,0.6220412614952167,-0.33999999999999986,0.4220000000000006,0.6089999999999982,0.8589999999999982,1.1869999999999976,1.870000000000001,2.196999999999999,2.897000000000002,8.245999999999999
r-z,45946.0,2.0627001479998146,0.9654243178653175,-0.7829999999999995,0.6580000000000003,0.9559999999999995,1.3320000000000007,1.8200000000000003,2.9077499999999987,3.389999999999999,4.556999999999999,8.465
r-J,45946.0,3.4699111565751237,1.2112378896844935,-1.572000000000001,1.5589000000000002,2.1080000000000005,2.580999999999998,3.162000000000001,4.4780000000000015,5.1035,6.660550000000003,10.875
r-H,45946.0,4.091131545727658,1.2054885139805138,-0.8260000000000005,2.22445,2.7620000000000005,3.206,3.769,5.079000000000001,5.716000000000001,7.3549999999999995,11.511
r-K,45946.0,4.363080942845999,1.2641063600588556,-0.7510000000000012,2.38145,2.9650000000000016,3.4410000000000007,4.0280000000000005,5.396000000000001,6.071000000000001,7.793000000000001,11.732999999999999
r-w1,45946.0,4.498313411396031,1.2978668539037332,-0.6780000000000008,2.492,3.035,3.552999999999999,4.1590000000000025,5.568999999999999,6.2330000000000005,8.038550000000004,11.876
r-w2,45946.0,4.625104078701092,1.363594340450429,-0.8250000000000011,2.3794499999999994,3.051,3.637999999999998,4.306999999999999,5.757999999999999,6.4395,8.270100000000005,11.883999999999999
i-z,45946.0,0.7293711530927581,0.3511182910022413,-0.4610000000000003,0.21299999999999822,0.34000000000000075,0.4689999999999994,0.6340000000000003,1.027000000000001,1.1980000000000004,1.7169999999999987,2.3689999999999998
i-J,45946.0,2.1365821616680756,0.6232917390564894,-1.2550000000000008,1.0619999999999992,1.4750000000000014,1.702,1.9770000000000003,2.5959999999999983,2.9415000000000004,3.920100000000006,7.414999999999999
i-H,45946.0,2.757802550820522,0.6206672505863288,-0.5090000000000003,1.7334499999999995,2.1249999999999982,2.3260000000000005,2.587999999999999,3.1910000000000007,3.5660000000000007,4.614000000000001,8.08
i-K,45946.0,3.0297519479388915,0.6781464524646078,-0.43400000000000105,1.883449999999999,2.3200000000000003,2.556000000000001,2.8500000000000014,3.5060000000000016,3.9220000000000006,5.046000000000001,8.285
i-w1,45946.0,3.1649844164889434,0.7110690160940535,-0.36100000000000065,2.017999999999999,2.4000000000000004,2.661999999999999,2.9739999999999984,3.694000000000001,4.074000000000002,5.270999999999999,8.379999999999999
i-w2,45946.0,3.2917750837940063,0.7751768634661272,-0.5080000000000009,1.9039999999999997,2.4140000000000015,2.750999999999998,3.1189999999999998,3.883000000000001,4.279999999999999,5.500550000000002,8.4
z-J,45946.0,1.407211008575277,0.33738350546356105,-0.7940000000000005,0.7754500000000001,1.1020000000000003,1.2060000000000013,1.3389999999999986,1.5790000000000006,1.777000000000001,2.4221000000000052,6.663999999999998
z-H,45946.0,2.028431397727776,0.33878543590374605,-0.04800000000000004,1.4354499999999992,1.7289999999999992,1.8279999999999994,1.955,2.187999999999999,2.4080000000000013,3.0890000000000013,7.328999999999999
z-K,45946.0,2.3003807948461246,0.3862249188268432,0.026999999999999247,1.6050000000000004,1.9260000000000002,2.0540000000000003,2.2169999999999987,2.5069999999999997,2.7664999999999997,3.4821000000000057,7.533999999999999
z-w1,45946.0,2.435613263396159,0.4143008022058323,0.09999999999999964,1.7669999999999986,2.030999999999999,2.157000000000002,2.3290000000000006,2.6799999999999997,2.9259999999999993,3.7349999999999994,7.676
z-w2,45946.0,2.5624039307012945,0.4719875510542638,-0.2729999999999997,1.6383500000000004,2.0470000000000015,2.251999999999999,2.476000000000001,2.867000000000001,3.128,3.9271000000000056,7.784000000000001
J-H,45946.0,0.6212203891524795,0.13359346419606322,-0.21699999999999875,0.25899999999999934,0.472999999999999,0.5519999999999996,0.6189999999999998,0.6889999999999983,0.7739999999999991,1.005,1.5920000000000023
J-K,45946.0,0.8931697862708385,0.17022354212363683,-0.054000000000002046,0.4980000000000011,0.713000000000001,0.7969999999999988,0.8729999999999993,0.972999999999999,1.1080000000000005,1.4110000000000014,2.0520000000000014
J-w1,45946.0,1.0284022548208773,0.15869755853139794,-1.3419999999999987,0.697000000000001,0.8610000000000007,0.9310000000000009,1.0070000000000014,1.1079999999999988,1.2190000000000012,1.5220000000000011,2.988999999999999
J-w2,45946.0,1.1551929221259751,0.22292255027770466,-1.2530000000000001,0.6189999999999998,0.8970000000000002,1.0230000000000015,1.1440000000000001,1.286999999999999,1.42,1.762999999999999,3.9479999999999986
H-K,45946.0,0.2719493971183551,0.1711070973727274,-0.6460000000000008,-0.13700000000000045,0.08699999999999974,0.17499999999999893,0.254999999999999,0.35599999999999987,0.4850000000000012,0.7735500000000031,1.346
H-w1,45946.0,0.40718186566839365,0.166898155290666,-1.8449999999999989,0.019999999999999574,0.22100000000000009,0.30599999999999916,0.39400000000000013,0.5010000000000012,0.609,0.8800000000000008,1.8759999999999994
H-w2,45946.0,0.5339725329734863,0.2381675899896193,-1.7560000000000002,-0.06509999999999946,0.2370000000000001,0.391,0.5389999999999997,0.6850000000000005,0.8120000000000012,1.115000000000002,2.834999999999999
K-w1,45946.0,0.1352324685500377,0.1607199698085236,-1.879999999999999,-0.3459999999999993,-0.04499999999999993,0.06125000000000114,0.14000000000000057,0.21700000000000053,0.3099999999999987,0.5510000000000002,1.241999999999999
K-w2,45946.0,0.2620231358551313,0.21698962145470746,-1.7910000000000004,-0.3890000000000021,0.006999999999999673,0.14825000000000088,0.27999999999999936,0.391,0.49600000000000044,0.7619999999999997,2.205
w1-w2,45946.0,0.12679066730509728,0.11617594596983723,-1.2889999999999997,-0.22299999999999898,-0.019999999999999574,0.0649999999999995,0.14499999999999957,0.20199999999999996,0.24899999999999878,0.35599999999999987,1.202
